|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Название (ру)                                                                 | Вид           | Год  | Ссылка на картинку                                                                                       |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Провожающая в последний путь Фрирен                                           | TV Сериал     | 2023 | https://nyaa.shikimori.one/uploads/poster/animes/52991/preview_alt-f180ae801fddf9551e27aff2d96f2112.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Стальной алхимик: Братство                                                    | TV Сериал     | 2009 | https://dere.shikimori.one/uploads/poster/animes/5114/preview_alt-ba65e789c26d848f95418b3f8718b525.jpeg  |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Врата Штейна                                                                  | TV Сериал     | 2011 | https://nyaa.shikimori.one/uploads/poster/animes/9253/preview_alt-2e34cb98f6d7199d871e9520f24a4b0a.jpeg  |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Ван-Пис: Письмо от поклонника                                                 | TV Спецвыпуск | 2024 | https://nyaa.shikimori.one/uploads/poster/animes/60022/preview_alt-db987c1a5b0240b3bac6d8f8a16893fc.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Атака титанов 3. Часть 2                                                      | TV Сериал     | 2019 | https://nyaa.shikimori.one/uploads/poster/animes/38524/preview_alt-12978c1960d8f290bae223ce025b23ef.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Гинтама 4                                                                     | TV Сериал     | 2015 | https://dere.shikimori.one/uploads/poster/animes/28977/preview_alt-2fff98c1ee26af4f31c76ae3d5b7a9d6.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Гинтама: Финал                                                                | Фильм         | 2021 | https://dere.shikimori.one/uploads/poster/animes/39486/preview_alt-2c087537871483e110e534fce9d14d5e.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Гинтама 2                                                                     | TV Сериал     | 2011 | https://nyaa.shikimori.one/uploads/poster/animes/9969/preview_alt-02f2bb2b03f40379fb45e1711e91d33b.jpeg  |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Охотник х Охотник (2011)                                                      | TV Сериал     | 2011 | https://nyaa.shikimori.one/uploads/poster/animes/11061/preview_alt-6e20d146e854ef52a28f8366d021ad23.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Гинтама 3                                                                     | TV Сериал     | 2012 | https://dere.shikimori.one/uploads/poster/animes/15417/preview_alt-168a13ec2443ccadc954a262af3f646a.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Легенда о героях Галактики                                                    | OVA           | 1988 | https://nyaa.shikimori.one/uploads/poster/animes/820/preview_alt-ac14d4fa7ff3db2bcea3de64cd8b1844.jpeg   |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Блич: Тысячелетняя кровавая война                                             | TV Сериал     | 2022 | https://nyaa.shikimori.one/uploads/poster/animes/41467/preview_alt-8cc8979ef0c9228db6a1127fa511fbfc.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Госпожа Кагуя: в любви как на войне 3                                         | TV Сериал     | 2022 | https://dere.shikimori.one/uploads/poster/animes/43608/preview_alt-da0280f2447ac238cfdfa0d8ccb38b30.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Гинтама 5                                                                     | TV Сериал     | 2017 | https://dere.shikimori.one/uploads/poster/animes/34096/preview_alt-82fe9d396a84e955ecc0b01224386854.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Корзинка фруктов: Финал                                                       | TV Сериал     | 2021 | https://dere.shikimori.one/uploads/poster/animes/42938/preview_alt-3d02d1535bc3d137f7fd28f945ddbdfe.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Кланнад: Продолжение истории                                                  | TV Сериал     | 2008 | https://nyaa.shikimori.one/uploads/poster/animes/4181/preview_alt-0cfac6b30ce41947ab4f455c5f027cd1.jpeg  |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Гинтама                                                                       | TV Сериал     | 2006 | https://dere.shikimori.one/uploads/poster/animes/918/preview_alt-ecda807950276f275455bb9831adbf73.jpeg   |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Форма голоса                                                                  | Фильм         | 2016 | https://nyaa.shikimori.one/uploads/poster/animes/28851/preview_alt-d83a0a0ff4508a844e7a145d3f3866de.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Мартовский лев 2                                                              | TV Сериал     | 2017 | https://nyaa.shikimori.one/uploads/poster/animes/35180/preview_alt-3dc7368c5360d85b307bd56d2ac42d13.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Код Гиас: Восставший Лелуш 2                                                  | TV Сериал     | 2008 | https://nyaa.shikimori.one/uploads/poster/animes/2904/preview_alt-df83ebd3c988ac49d7f90714368dd5c0.jpeg  |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Гинтама: Финальная арка — Ёродзуя навсегда!                                   | Фильм         | 2013 | https://nyaa.shikimori.one/uploads/poster/animes/15335/preview_alt-f3797b5bb1f72ffabc88e9cfd22e408a.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Гинтама 8                                                                     | TV Сериал     | 2018 | https://nyaa.shikimori.one/uploads/poster/animes/37491/preview_alt-dffc0e7e0b082b9419f5c1453afc38a5.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Монолог фармацевта                                                            | TV Сериал     | 2023 | https://dere.shikimori.one/uploads/poster/animes/54492/preview_alt-5a008c4dd0d2045948f17b9d81a50bc7.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Монстр                                                                        | TV Сериал     | 2004 | https://nyaa.shikimori.one/uploads/poster/animes/19/preview_alt-92754cb573561cea98627b3717b6e45c.jpeg    |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| История финала 2                                                              | TV Спецвыпуск | 2017 | https://dere.shikimori.one/uploads/poster/animes/35247/preview_alt-7ea899214e6fdb6012b54352b9f7d078.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Атака титанов: Финал — Заключительная глава                                   | TV Спецвыпуск | 2023 | https://dere.shikimori.one/uploads/poster/animes/51535/preview_alt-aa5261c673babe5a72d17c85c6a07aa1.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Поднятие уровня в одиночку 2: Восстаньте из тени                              | TV Сериал     | 2025 | https://nyaa.shikimori.one/uploads/poster/animes/58567/preview_alt-6790ee5a11470e4424356d0a66502461.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Вайолет Эвергарден. Фильм                                                     | Фильм         | 2020 | https://dere.shikimori.one/uploads/poster/animes/37987/preview_alt-6e5b2caad4712666a2f1db04d475ad82.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Твоё имя                                                                      | Фильм         | 2016 | https://nyaa.shikimori.one/uploads/poster/animes/32281/preview_alt-23f0f8065846657aebeeea36b09819e1.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Царство 3                                                                     | TV Сериал     | 2020 | https://nyaa.shikimori.one/uploads/poster/animes/40682/preview_alt-83bf488770db833d7c2148ea794b520e.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Гинтама 7                                                                     | TV Сериал     | 2018 | https://nyaa.shikimori.one/uploads/poster/animes/36838/preview_alt-d9c7ca60821e04784962a020fe760fae.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Сага о Винланде 2                                                             | TV Сериал     | 2023 | https://nyaa.shikimori.one/uploads/poster/animes/49387/preview_alt-9d436ef31b1886bba8a3ea7a6e56e5c5.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Моб Психо 100 2                                                               | TV Сериал     | 2019 | https://dere.shikimori.one/uploads/poster/animes/37510/preview_alt-4b9e8ed9849f2b45d258fd0fc9d02509.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Истории ран. Часть 3: Холодная кровь                                          | Фильм         | 2017 | https://nyaa.shikimori.one/uploads/poster/animes/31758/preview_alt-ce759da9ae431a797af1a25c0166633b.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Атака титанов: Финал                                                          | TV Сериал     | 2020 | https://dere.shikimori.one/uploads/poster/animes/40028/preview_alt-0604ba16baa4cbca6b1fd6fa920e44e5.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Опасность в моём сердце 2                                                     | TV Сериал     | 2024 | https://nyaa.shikimori.one/uploads/poster/animes/55690/preview_alt-4631226a042c864b4d95a25985e6defa.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Волейбол!! 3                                                                  | TV Сериал     | 2016 | https://dere.shikimori.one/uploads/poster/animes/32935/preview_alt-2e0b1527cfce3558b0a6e20b95970989.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Магическая битва 2                                                            | TV Сериал     | 2023 | https://dere.shikimori.one/uploads/poster/animes/51009/preview_alt-7e40b02d667ac80e526986d8713425cd.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Первый шаг                                                                    | TV Сериал     | 2000 | https://dere.shikimori.one/uploads/poster/animes/263/preview_alt-d048016926514ffbc3c3944fe2b146d1.jpeg   |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Унесённые призраками                                                          | Фильм         | 2001 | https://nyaa.shikimori.one/uploads/poster/animes/199/preview_alt-38907523a3707ed46fc58e79fb950d91.jpeg   |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Одинокий рокер!                                                               | TV Сериал     | 2022 | https://nyaa.shikimori.one/uploads/poster/animes/47917/preview_alt-fec99aded2a0f10e9df5682e6f0650a7.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Атака титанов: Финал. Часть 2                                                 | TV Сериал     | 2022 | https://nyaa.shikimori.one/uploads/poster/animes/48583/preview_alt-8e1ec5472b587b8b230698b864f9e0a6.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Цикл историй: Второй сезон                                                    | TV Сериал     | 2013 | https://nyaa.shikimori.one/uploads/poster/animes/17074/preview_alt-33a672e811427eb1e291e4e2e4c8f67c.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Сага о Винланде                                                               | TV Сериал     | 2019 | https://dere.shikimori.one/uploads/poster/animes/37521/preview_alt-51336771727b37f0ad2407cd7a890996.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
| Монолог фармацевта 2                                                          | TV Сериал     | 2025 | https://dere.shikimori.one/uploads/poster/animes/58514/preview_alt-70670454c344a50317017a199c2cd69f.jpeg |
|-------------------------------------------------------------------------------|---------------|------|----------------------------------------------------------------------------------------------------------|
